domain,company_name,research
stripe.com,Stripe,"We are looking for a Staff Infrastructure Engineer to join our Platform team. In this role, you will lead the migration off legacy v1 billing pipeline to Kafka and modernize our distributed streaming architecture across globally distributed payment clusters."
hyper_ai,Hyper AI,"Seeking Senior Database Systems Engineer. We are hitting latency limits at 50k QPS on Postgres cluster and need an expert to implement partitioning, connection pooling, and multi-region replication."
pinecone.io,Pinecone,"Staff Systems Engineer: scaling vector search across multi-tenant clusters with high availability, tiered storage, and sub-10ms p99 latency guarantees."
posthog.com,PostHog,"Data Infrastructure Engineer: optimizing ClickHouse to ingest 2B+ daily analytics events and building real-time aggregation pipelines."
supabase.com,Supabase,"Distributed Systems Engineer: building globally distributed Edge Functions replication with low-latency state synchronization across edge regions."
neon.tech,Neon,"Cloud Storage Engineer: optimizing copy-on-write page server architecture and reducing cold-start latency for serverless Postgres branches."
datadog.com,Datadog,"Principal Observability Architect: scaling high-throughput time series ingestion engine to handle 50M metrics per second across hybrid cloud environments."
clerk.dev,Clerk,"Security Platform Engineer: implementing cross-region session synchronization with sub-5ms auth verification tokens."
modal.com,Modal,"Systems & Kernel Engineer: optimizing container cold-starts and GPU memory virtualization for serverless AI model inference."
resend.com,Resend,"Email Infrastructure Engineer: scaling transactional SMTP relays and implementing real-time bounce processing across distributed MTAs."
